date,lift_reason,det_facility,city,state,detainer_type
2010-06-05 00:00:00,United States Citizen Interviewed,HIDALGO COUNTY JAIL,EDINBURG,TEXAS,
2010-06-07 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2010-06-07 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2010-06-07 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2010-06-10 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2010-06-16 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2010-06-18 00:00:00,United States Citizen Interviewed,PIMA COUNTY JAIL,TUCSON,ARIZONA,
2010-06-19 00:00:00,United States Citizen Interviewed,SOMERSET COUNTY JAIL,SOMERVILLE,NEW JERSEY,
2010-06-23 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
2010-06-24 00:00:00,United States Citizen Interviewed,SANTA RITA JAIL,DUBLIN,CALIFORNIA,
2010-06-25 00:00:00,United States Citizen Interviewed,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2010-07-06 00:00:00,United States Citizen Interviewed,DUPAGE COUNTY JAIL,WHEATON,ILLINOIS,
2010-07-09 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
2010-07-09 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2010-07-16 00:00:00,United States Citizen Interviewed,"US MARSHALL, WESTERN WI",MADISON,WISCONSIN,
2010-07-25 00:00:00,United States Citizen Interviewed,TEXARKANA FED.CORR.INST.,TEXARKANA,TEXAS,
2010-07-27 00:00:00,United States Citizen Interviewed,FCI VICTORVILLE,VICTORVILLE,CALIFORNIA,
2010-07-29 00:00:00,United States Citizen Interviewed,N.C. DEPT OF CORRECTIONS,RALEIGH,NORTH CAROLINA,
2010-08-04 00:00:00,United States Citizen Interviewed,CCC/SUSANVILLE,SUSANVILLE,CALIFORNIA,
2010-08-07 00:00:00,United States Citizen Interviewed,MARICOPA COUNTY JAIL,PHOENIX,ARIZONA,
2010-08-10 00:00:00,United States Citizen Interviewed,"MCRAE CORRECTIONAL FACILITY, CCA",MCRAE,GEORGIA,
2010-08-11 00:00:00,United States Citizen Interviewed,TULARE COUNTY JAIL,VISALIA,CALIFORNIA,
2010-08-12 00:00:00,United States Citizen Interviewed,ROBERTSON CO. DET.CENTER,SPRINGFIELD,TENNESSEE,
2010-08-27 00:00:00,United States Citizen Interviewed,SCI COAL TOWNSHIP,COAL TOWNSHIP,PENNSYLVANIA,
2010-09-01 00:00:00,United States Citizen Interviewed,ORANGE COUNTY JAIL,ORLANDO,FLORIDA,
2010-09-01 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2010-09-07 00:00:00,United States Citizen Interviewed,DEKALB CO JAIL,DECATUR,GEORGIA,
2010-09-16 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2010-09-16 00:00:00,United States Citizen Interviewed,SANTA CLARA CO MAIN JAIL/,SAN JOSE,CALIFORNIA,
2010-09-17 00:00:00,United States Citizen Interviewed,LOS ANGELES COUNTY JAIL-TWIN TOWER,LOS ANGELES,CALIFORNIA,
2010-09-20 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
