pvt_facility,state,capacity,det_facility
,,,PASCO COUNTY JAIL
,,,PASSAIC COUNTY JAIL
,,,PATRICK COUNTY JAIL
,,,PATRICK HENRY CORR UNIT #28
,,,"PATRICK J. SULLIVAN, JR DET.FAC."
,,,PATUXENT CORRECTIONAL FAC
,,,PAULDING CO GEORGIA
,,,PAULDING COUNTY JAIL
,,,PAWNEE COUNTY JAIL
,,,PAYETTE COUNTY JAIL
,,,PAYNE COUNTY JAIL
,,,PEACH COUNTY SHERIFF
,,,PEARL RIVER JUSTICE CENTER
,,,PEARLAND POLICE DEPT.
,,,PECOS COUNTY JUVENILE
,,,PECOS COUNTY L.E.C.
,,,PECOS CRIMINAL JUSTICE CENTER
,,,PECOS HOLD ROOM
,,,PEKIN FED.CORR.INST.
,,,PELHAM POLICE DEPT/JAIL
,,,PELICAN BAY STATE PRISON
,,,PEMBINA COUNTY JAIL
,,,PEND ORIELLE CORRECTIONAL FACILITY
,,,PENDER COUNTY JAIL
,,,PENDLETON CORR.FACILITY
,,,"PENITENTIARY, MCALESTER"
,,,"PENNINGTON CO. JAIL, MN"
,,,PENNINGTON COUNTY JAIL SD
,,,PENOBSCOT COUNTY JAIL
,,,PENSACOLA FPC
,,,PEORIA COUNTY JAIL
,,,PEPIN COUNTY JAIL
,,,PERRY CO PRISON
,,,PERRY COUNTY JAIL
,,,PERRY COUNTY SHERIFF/JAIL
,,,PERRY POLICE DEPT.
,,,PERRYTON POLICE DEPT.
,,,PERRYVILLE STATE PRISON
,,,PERSHING COUNTY JAIL
,,,PERSON COUNTY JAIL
,,,PETERSBURG FED.CORR.INST.
,,,PETTIS COUNTY JAIL
,,,PEUMANSEND CREEK REGIONAL JAIL
,,,PHARR POLICE DEPT.
,,,PHELPS COUNTY JAIL
,,,PHI DISTRICT OFFICE
,,,PHILADELPHIA 15TH POLICE DIST.
,,,PHILADELPHIA 18TH POLICE DIST.
,,,PHILADELPHIA 1ST POLICE DIST.
,,,PHILADELPHIA 23RD POLICE DIST.
,,,PHILADELPHIA 25TH POLICE DIST.
,,,PHILADELPHIA 35TH POLICE DIST.
,,,PHILADELPHIA 9TH POLICE DIST.
,,,PHILADELPHIA DETENTION CT
,,,PHILLIPS COUNTY JAIL
,,,PHOENIX DIST OFFICE
,,,PHOENIX FED.CORR.INST.
,,,PIATT COUNTY JAIL
,,,PICAYUNE POLICE DEPT/JAIL
,,,PICKAWAY CORRECTIONAL
,,,PICKAWAY COUNTY JAIL
,,,PICKENS COUNTY DET. CENTER
,,,PICKENS COUNTY DETENTION CENTER
,,,PICKENS COUNTY PRISON
,,,PICKNEYVILLE CORRECTIONAL CENTER
,,,PIEDMONT POLICE DEPT
,,,PIEDMONT REG JAIL
,,,PIERCE CO JAIL
,,,PIERCE COUNTY JAIL
,,,PIKE COUNTY JAIL
,,,PIKE COUNTY JAILL
,,,PIMA COUNTY JAIL
,,,PIMA COUNTY JUVENILE DET. CENTER
,,,PINAL COUNTY JAIL
,,,PINAL COUNTY JUV.DET.CTR.
,,,PINE COUNTY DETENTION CTR
,,,PINE LODGE CORRECTIONS
,,,PINELLAS COUNTY JAIL
,,,PIONEER HUMAN SERVICES
,,,PIPESTONE COUNTY JAIL
,,,PISCATAGUIS COUNTY JAIL
,,,PITCHESS HONOR RANCHO
,,,PITKIN COUNTY JAIL
,,,PITT COUNTY DETENTION CENTER
,,,PITTSBURG COUNTY SHERIFF/JAIL
,,,PITTSYLVANIA COUNTY JAIL
,,,PLACER JAIL
,,,PLANO POLICE DEPT.
,,,PLAQUEMINES PARISH DET. CENTER
,,,PLATTE COUNTY JAIL
,,,"PLATTE COUNTY JAIL, NEBR."
,,,PLATTE VALLEY YOUTH SERVICES
,,,PLEASANT VALLEY ST PRISON
,,,PLUMAS COUNTY JAIL
,,,PLYMOUTH COUNTY H.O.C.
,,,PLYMOUTH COUNTY SHERIFF/JAIL
,,,PLYMOUTH TOWNSHIP POLICE DEPT.
,,,POCAHONTAS COUNTY JAIL
,,,POCATELLO WOMEN'S CORR
,,,POINSETT COUNTY JAIL
,,,POLK CO JAIL
,,,POLK CORRECTIONAL
,,,POLK COUNTY JAIL
,,,POLK COUNTY SHERIFF
,,,POLLOCK F.C.I.
,,,POLLOCK USP
,,,POMONA CITY JAIL
,,,PONCA CITY JAIL
,,,PONDVIL CORR NORFOLK
,,,PONTIAC CORR. FACILITY
,,,PONTIAC CORRECTIONS CTR
,,,PONTOTOC COUNTY JAIL
,,,POPE COUNTY JAIL
,,,PORT AUTHORITY LOCK UP
,,,PORT ISABEL POLICE DEPT.
,,,PORT ISABEL SPC
,,,PORT LAVACA POLICE DEPT.
,,,PORTAGE COUNTY JAIL
,,,PORTAGE COUNTY SHERIFF
,,,PORTER COUNTY SHERIFF
,,,PORTLAND DISTRICT OFFICE
,,,"PORTLAND, ME HOLDROOM"
,,,PORTSMOUTH CITY JAIL
,,,POSEY COUNTY JAIL
,,,POTOMAC HIGHLANDS REGIONAL JAIL
,,,POTOSI CORR. CENTER
,,,POTTAWATONIE COUNTY SHERIFF
,,,POTTAWATTAMIE COUNTY JAIL
,,,POTTER COUNTY JAIL
,,,POTTER COUNTY PRISON
,,,POWDER RIVER CORR. FAC.
,,,POWDER RIVER COUNTY JAIL
,,,POWER COUNTY JAIL
,,,POWESHIEK COUNTY JAIL
,,,POWHATAN CORRECTIONAL CENTER
,,,PRAIRIE CORRECT. FACILITY
,,,PRAIRIE COUNTY JAIL
,,,PRAIRIE DU CHIEN C.I.
,,,PRAIRIE JUSTICE CENTER
,,,PRATT COUNTY DETENTION CENTER
,,,PRESIDIO COUNTY JAIL
,,,PRINCE GEORGES CO DET CEN
,,,PRINCE WILLIAM
,,,PROGRESO POLICE DEPT.
,,,PROSSER CITY JAIL
,,,PROVIDENCE PD
,,,PROWERS COUNTY JAIL
,,,PT COUPEE PAR DETEN. CNTS
,,,PUBLIC SAFETY CENTER
,,,PUEBLO COUNTY JAIL
,,,PUEBLO HOLDROOM
,,,PUEBLO YOUTH CENTER
,,,PUGSLEY CORRECTIONAL FACILITY
,,,PULASKI COUNTY DETENTION CENTER
,,,PULASKI COUNTY REG.DET.FAC.
,,,PULASKI COUNTY SHERIFF
,,,PUTMAN COUNTY JAIL
,,,PUTNAM COUNTY C.F.
,,,PUTNAM COUNTY JAIL
,,,PUTNAM COUNTY SHERIFF
,,,PUTNAMVILLE CORR. INST.
,,,PUYALLUP CITY JAIL
,,,QUAY COUNTY JAIL
,,,QUEEN ANNE CO DET CENTER
,,,QUEENS CENTRAL BOOKING
,,,QUEENS HOUSE OF DETENTION
,,,"QUEENSBORO, C.F, LIC NY"
,,,QUINCY ANNEX
,,,RABUN COUNTY DET. CENTER
,,,RACINE CORRECTIONAL INSTITUTION
,,,RACINE COUNTY JAIL
,,,RACINE YOUTHFUL CORRECTION CENTER
,,,RADGOWSKI CORR CENTER
,,,RAINS COUNTY JAIL
,,,RALEIGH COUNTY JAIL
,,,RALEIGH HOLD ROOM
,,,"RAMSEY ADC ANNEX, SPM"
,,,"RAMSEY CO. WORKHOUSE, MN"
,,,RAMSEY COUNTY JAIL
,,,RANDALL COUNTY JAIL
,,,RANDOLPH COUNTY JAIL
,,,RANDOLPH COUNTY SHERIFF
,,,RANDOLPH COUNTY SHERIFF/JAIL
,,,RANKIN COUNTY JAIL
,,,RAPID CITY HOLD ROOM
,,,RAPP SEC CENTER
,,,RAVALLI COUNTY JAIL
,,,RAY BROOK FED.CORR.INST.
,,,REAGAN COUNTY L.E. CENTER
,,,REAL COUNTY JAIL
,,,RECEPTION AND MEDICAL CENTER
,,,RECEPTION AND MEDICAL CENTER-WEST
,,,RED BAY CITY POLICE DEPT.
,,,RED RIVER COUNTY JAIL
,,,RED WILLOW COUNTY JAIL
,,,REDFORD POLICE DEPT.
,,,REDGRANITE CORR. INSTITUTE
,,,REDONDO BEACH POLICE DEPT.
,,,REDWOOD COUNTY JAIL
,,,REEDSPORT CITY JAIL
,,,REEVES CO. JUV. DET. CTR.
,,,REEVES COUNTY DET. CENTER
,,,REEVES COUNTY DET. CENTER III
,,,REFORMATORY FOR WOMEN
,,,REFUGIO COUNTY SHERIFF
,,,REGAL 8 INN
,,,REGIONAL JUSTICE CENTER
,,,RENO COUNTY JAIL
,,,RENO HOLD ROOM
,,,RENSSALAER COUNTY
,,,RENTON CITY JAIL
,,,RENVILLE COUNTY JAIL
,,,REYNOLDS COUNTY SHERIFF/JAIL
,,,RHEA COUNTY JAIL
,,,RICE CITY POLICE DEPT.
,,,RICE COUNTY DET CENTER
,,,RICE COUNTY JAIL
,,,RICHARD A HANDLON CORR.FAC.
,,,RICHARDSON POLICE DEPT.
,,,"RICHLAND CO. JAIL, ND"
,,,RICHLAND CORRECTIONAL
,,,RICHLAND COUNTY JAIL
,,,RICHLAND COUNTY-A S GLENN DET CEN
,,,RICHLAND PARISH DETENTION CENTER
,,,RICHMOND CENTRAL BOOKING
,,,RICHMOND CITY JAIL
,,,RICHMOND COUNTY JAIL
,,,RICHMOND HEIGHTS POLICE DEPT.
,,,RICHMOND POLICE DEPT.
,,,RICHMOND SUB-OFFICE HOLD
,,,RIDGE VIEW ACADEMY
,,,"RIKERS ISLAND, QUEENS, NY"
,,,RILEY COUNTY SHERIFF
,,,RIO ARRIBA COUNTY DET. CENTER
,,,RIO BLANCO COUNTY JAIL
,,,RIO COSUMNES CORRECTIONS-RCCC
,,,RIO GRANDE COUNTY JAIL
,,,RIO GRANDE ST.HOSPITAL
,,,RIVARDE JUVENILE DET. CENTER
,,,RIVER OAKS POLICE DEPT.
,,,RIVERBEND MAX.SEC.FAC.   .
,,,RIVERFRONT STATE PRISON
,,,RIVERS FEDERAL C.I.
,,,"RIVERSIDE CORR,IONIA,MI"
,,,RIVERSIDE CORR. FACILITY
,,,RIVERSIDE COUNTY SHERIFF
,,,RIVERSIDE CUSTODY CASE
,,,RIVERSIDE REG JAIL
,,,RIVERVIEW CORRECTIONAL
,,,RJ DONOVAN CORREC FAC
,,,ROANE COUNTY JAIL
,,,ROANOKE CITY JAIL
,,,ROANOKE COUNTY JAIL
,,,"ROBERTS CO. JAIL, SD"
,,,ROBERTS COUNTY SHERIFF
,,,ROBERTSDALE POL. DEPT. JAIL
,,,ROBERTSON CO. DET.CENTER
,,,ROBERTSON COUNTY SHERIFF
,,,ROBESON COUNTY JAIL
,,,ROBINSON CORR INST
,,,ROBINSON CORRECTIONAL
,,,ROCHESTER CORRECTIONAL
,,,ROCHESTER FED.MED.CENTER
,,,ROCK COUNTY JAIL
,,,ROCK HILL POLICE DEPT.
,,,ROCK ISLAND CORRECTIONAL CENTER
,,,ROCK ISLAND COUNTY JAIL
,,,ROCK ISLAND HOLD ROOM
,,,ROCKBRIDGE
,,,ROCKDALE COUNTY GA. JAIL
,,,ROCKDALE REGIONAL JUVENILE CENTER
,,,ROCKINGHAM CO. JAIL
,,,ROCKINGHAM COUNTY JAIL
,,,"ROCKLAND CO JAIL,NEW CITY"
,,,ROCKPORT POLICE DEPT.
,,,ROCKVILLE CORR. FACILITY
,,,ROCKWALL COUNTY JAIL
,,,ROCKY RIVER CITY JAIL
,,,ROEDERER CORR COMPLEX
,,,ROGELIO SANCHEZ FACILITY
,,,ROGERS COUNTY JAIL
,,,ROGUE VALLEY YOUTH CORR.
,,,ROGURE VALLEY YOUTH COR.FAC.
,,,ROLAND POLICE DEPT.
,,,ROLLING MEADOWS POLICE DEPT.
,,,ROLLING PLAINS DETENTION CENTER
,,,ROMULUS CITY POLICE DEPT.
,,,ROOSEVELT COUNTY JAIL
,,,"ROSCOMMON CO,ROSCOMMON,MI"
,,,ROSEAU COUNTY JAIL
,,,ROSEBUD COUNTY JAIL
,,,ROSENBERG POLICE DEPT.
,,,"ROSEVILLE P.D.,ROSEVILLE,"
,,,ROSS CORRECTIONAL
,,,ROSS COUNTY JAIL
,,,ROSWELL CITY JAIL
,,,ROSWELL CORRECTIONAL CENTER
,,,ROUND LAKE BEACH POLICE DEPT.
,,,"ROUNDHOUSE PHI, PA"
,,,ROUNTREE JAIL FARM
,,,ROUNTREE MINIMUM FACILITY
,,,ROUTT COUNTY JAIL
,,,ROWAN COUNTY DETENTION CENTER
,,,ROWLETT POLICE DEPT.
,,,ROXBURY CORRECTIONAL INST
,,,RUNNELS COUNTY JAIL
,,,RUSK COUNTY JAIL
,,,RUSK COUNTY SHERIFF
,,,RUSSELL COUNTY JAIL
,,,RUSSELLVILLE POLICE DEPT.
,,,RUSTBURG CORR. UNIT #9
,,,RUTHERFORD COUNTY JAIL
,,,RUTHERFORD COUNTY JUV DET CENTER
,,,RUTHERFORD COUNTY SHERIFF
,,,RYAN REGIONAL CORR FACILI
,,,S MIDLSX PRRELEAS FRAMING
,,,S.C. DEPT OF CORRECTIONS
,,,S.C.I. AT PITTSBURG
,,,S.C.I. CAMBRIDGE SPRINGS
,,,S.C.I. FOREST
,,,"S.C.I., CRESSON, PA"
,,,"S.C.I., GREENSBURG, PA"
,,,"S.C.I., WAYNESBURG, PA"
,,,S.D. COUNTY PROBATION
,,,S.N.M.C.F. LAS CRUCES
,,,"SABANA HOYOS INST.IBO, P."
,,,SABINE PARISH DETENTION FACILITY
,,,SAC & FOX NATION JUV DET
,,,SAC COUNTY JAIL
,,,SACRAMENTO COUNTY JAIL
,,,SACRAMENTO HOLD
,,,SAFFORD FED.CORR.INST.
,,,"SAGINAW CO., SAGINAW, MI"
,,,SAGINAW POLICE DEPT.
,,,"SAGINAW, REGIONAL CORR"
,,,SAGUACHE COUNTY JAIL
,,,SAIPAIN HOLD
,,,SAIPAN DEPARTMENT OF CORRECTIONS
,,,SALEM COUNTY CORRECTIONAL FACILITY
,,,SALINAS VALLEY STATE PRIS
,,,SALINE COUNTY JAIL
,,,SALINE COUNTY JUVENILE DET. CENTER
,,,SALT LAKE CITY HOLD ROOM
,,,SALT LAKE COUNTY - OXBOW
,,,SALT LAKE COUNTY JAIL
,,,SALT LAKE VALLEY JUVENILE
,,,SALUDA COUNTY DET CENTER
,,,SAMPSON COUNTY JAIL
,,,SAN ANTONIO (CITY OF) MAGISTRATE
,,,SAN ANTONIO DRO HOLD ROOM
,,,SAN AUGUSTINE COUNTY SHERIFF
,,,SAN AUGUSTINE POLICE DEPT.
,,,SAN BENITO COUNTY JAIL
,,,SAN BENITO JUVENILE HALL
,,,SAN BENITO POLICE DEPT.
,,,SAN BERNADINO HOLD ROOM
,,,SAN BERNARDINO CO. JAIL
,,,SAN DIEGO AREA HOSPITAL
,,,SAN DIEGO CENTRAL JAIL
,,,SAN DIEGO COUNTY JAIL
,,,SAN DIEGO COUNTY JUV.HALL
,,,SAN DIEGO MCC
,,,SAN FERNANDO POLICE DEPT.
,,,SAN FRANCISCO CO JAIL
,,,SAN FRANCISCO JUVY HALL
,,,SAN GABRIEL POLICE DEPT.
,,,SAN JACINTO COUNTY SHERIFF
,,,SAN JOAQUIN COUNTY JAIL
,,,SAN JUAN COUNTY DETENTION CENTER
,,,SAN JUAN COUNTY JAIL
,,,SAN JUAN POLICE DEPT.
,,,SAN LUIS OBISPO CO JAIL
,,,SAN LUIS OBISPO CO. JUVEN
,,,SAN LUIS REGIONAL DET CENTER
,,,SAN MATEO CO JAIL
,,,SAN MATEO JUVENILLE HALL
,,,SAN MIGUEL COUNTY DET CTR
,,,SAN MIGUEL COUNTY JAIL
,,,SAN PATRICIO COUNTY JAIL
,,,SAN PEDRO SPC
,,,SAN SABA COUNTY JAIL
,,,SANDOVAL COUNTY DET CTR
,,,SANDSTONE FED.CORR.INST.
,,,SANDUSKY COUNTY JAIL
,,,SANDY MUSH JAIL
,,,SANGAMON COUNTY JAIL
,,,SANPETE COUNTY JAIL
,,,SANTA ANA CITY JAIL
,,,SANTA ANA COUNTY JAIL
,,,SANTA ANA DRO HOLDROOM
,,,SANTA BARBARA CO JUVENILE
,,,SANTA BARBARA COUNTY JAIL
,,,SANTA CLARA CO JAIL/MEN'S
,,,SANTA CLARA CO MAIN JAIL/
,,,SANTA CLARA COUNTY JAIL
,,,SANTA CRUZ CO JAIL AZ
,,,SANTA CRUZ CO JUVENILE
,,,SANTA CRUZ CO MAIN JAIL
,,,"SANTA CRUZ CO. JUVE, NOG"
,,,SANTA FE CORNELL DET. FAC.
,,,SANTA FE COUNTY JAIL
,,,"SANTA FE PENITENTIARY, NM"
,,,SANTA FE POLICE DEPT.
,,,SANTA MONICA POLICE DEPT.
,,,SANTA RITA JAIL
,,,SANTA ROSA CORR. INSTITUTION
,,,SANTA ROSA COUNTY JAIL
,,,SANTIAM CORRECTION INST.
,,,SARALAND POL DEPT JAIL
,,,SARASOTA COUNTY JAIL
,,,SARATOGA COUNTY JAIL
,,,SARPY COUNTY JAIL
,,,SARPY COUNTY JUVENILE
,,,SAUK COUNTY SHERIFF
,,,SAUNDERS COUNTY JAIL
,,,SCC/JAMESTOWN
,,,SCHERERVILLE POLICE DEPT.
,,,SCHLEICHER COUNTY JAIL
,,,SCHLEY COUNTY SHERIFF
,,,SCHNECTADY COUNTY JAIL
,,,SCHOHARIE COUNTY JAIL
,,,SCHUYLER COUNTY JAIL
,,,SCHUYLKILL COUNTY PRISON
,,,SCHUYLKILL FED.CORR.INST.
,,,SCI ALBION
,,,SCI BENNER TOWNSHIP
,,,SCI CHESTER
,,,SCI COAL TOWNSHIP
,,,"SCI DALLAS, PA"
,,,SCI FAYETTE
,,,SCI FRACKVILLE
,,,"SCI GRATERFORD, PA"
,,,SCI GREENE
,,,SCI HOUTZDALE
,,,"SCI HUNTINGDON, PA"
,,,SCI LAUREL HIGHLANDS
,,,SCI MAHANOY
,,,SCI MUNCY
,,,SCI PINE GROVE
,,,SCI RETREAT
,,,"SCI ROCKVIEW, PA"
,,,SCI SMITHFIELD
,,,SCI SOMERSET
,,,SCI WAYMART
,,,SCIOTO COUNTY JAIL
,,,SCORE-SOUTH CORRECTIONAL FACILITY
,,,SCOTLAND COUNTY JAIL
,,,"SCOTT CORRECT.PLYMOUTH,MI"
,,,SCOTT COUNTY DET.FACILITY
,,,SCOTT COUNTY DETENTION CENTER
,,,SCOTT COUNTY JAIL
,,,SCOTTS BLUFF CO JAIL
,,,SCOTTSBORO POLICE DEPT/JAIL
,,,SCOTTSDALE JAIL DIST 1
,,,SCOTTSDALE JAIL DIST 2
,,,SCREVEN COUNTY SHERIFF
,,,SCURRY COUNTY SHERIFF
,,,SD STATE PENN SIOUX FALLS
,,,SE COR CNTR BRIDGEWATER
,,,SEABROOK POLICE DEPT.
,,,SEAGOVILLE FED.CORR.INST.
,,,SEAL BEACH POLICE DEPT.
,,,SEALY POLICE DEPT.
,,,SEARCY COUNTY JAIL
,,,SEASIDE CITY JAIL
,,,SEATAC FED.DET.CENTER
,,,SEATTLE CONTRACT DET.FAC.
,,,SEATTLE FIELD OFFICE HOLD ROOM
,,,SEBASTIAN COUNTY DET CNT
,,,SEBASTIAN COUNTY JUVENILE
,,,SEDGWICH COUNTY JAIL
,,,SEDGWICK COUNTY JAIL
,,,SEMINOLE COUNTY JAIL
,,,SEMINOLE COUNTY SHERIFF
,,,SENECA COUNTY JAIL
,,,SEQUATCHIE COUNTY JAIL
,,,SEQUOYAH COUNTY SHERIFF/JAIL
,,,SEVIER COUNTY JAIL
,,,"SEWARD COR CTR, SEWARD AK"
,,,SEWARD COUNTY JAIL
,,,SFR HOLD ROOM
,,,SHACKELFORD COUNTY SHERIFF
,,,SHARP COUNTY JAIL
,,,SHASTA COUNTY JAIL
,,,SHAWANGUNK C.F. WALLKILL
,,,SHAWANO COUNTY SHERIFF
,,,SHAWNEE CORRECTIONS
,,,SHAWNEE COUNTY DEPT OF CORR.
,,,SHAWNEE COUNTY JUV.DET.CTR
,,,SHEBOYGAN COUNTY DETENTION CENTER
,,,SHELBY CO. SHERIFF OFFICE
,,,SHELBY COUNTY
,,,SHELBY COUNTY DET CTR
,,,SHELBY COUNTY JAIL
,,,"SHELBY COUNTY JAIL, IOWA"
,,,SHELBY COUNTY SHERIFF
,,,SHENANDOAH CO JAIL
,,,SHENANDOAH POLICE DEPT.
,,,SHERBURNE COUNTY JAIL
,,,SHERIDAN CORRECTIONAL CTR
,,,SHERIDAN COUNTY JAIL
,,,SHERIDAN FED.CORR.INST.
,,,SHERMAN COUNTY SHERIFF
,,,SHIAWASSEE COUNTY JAIL
,,,SHILOH TREATMANT CENTER
,,,SHOSHONE CO PUBLIC SAFETY FACILITY
,,,SHREVEPORT CITY JAIL
,,,SHREVEPORT HOLD ROOM
,,,SHREWSBURY POLICE DEPT.
,,,SHUTTER CREEK CORR.INST.
,,,"SIBLEY COUNTY JAIL, MN"
,,,SIERRA COUNTY DET CTR
,,,SIERRA COUNTY JAIL
,,,SIERRA MADRE POLICE DEPT.
,,,SIGNAL HILL POLICE DEPT.
,,,SILVERDALE/HAMILTON COUNTY
,,,SIMPSON CO. DETENTION CENTER
,,,SIMPSON COUNTY JAIL
,,,"SING SING, OSSINING, NY"
,,,SIOUX CITY HOLD ROOM
,,,SIOUX COUNTY JAIL
,,,SISKIYOU JAIL
,,,SKAGIT COUNTY JAIL
,,,SKAMANIA COUNTY JAIL
,,,SKOKIE POLICE DEPT.
,,,SLIDELL PD JAIL
,,,SMITH COUNTY JAIL
,,,SMITH COUNTY SHERIFF
,,,SMYRNA CITY JAIL
,,,SNAKE RIVER JUVENILE
,,,SND DISTRICT STAGING
,,,SNJ HOLD ROOM
,,,SNOHOMISH COUNTY JAIL
,,,SNYDER COUNTY JAIL
,,,SOLANO CO. DET. FACILITY
,,,SOLON CITY JAIL
,,,SOMERSET COUNTY DET CENTER
,,,SOMERSET COUNTY JAIL
,,,SOMERVELL COUNTY SHERIFF'S DEPT.
,,,SOMERVILLE POLICE DEPT.
,,,SONOMA CO MAIN ADULT DET
,,,SONOMA CO./NORTH COUNTY
,,,SOUIX FALLS HOLD ROOM
,,,SOUSA-BARANOWSKI CORR. CENTER
,,,SOUTH BAY DETENT FACILITY
,,,SOUTH CENTRAL CORR. CENTER
,,,SOUTH CENTRAL CORR.FAC.
,,,SOUTH CENTRAL REGIONAL JAIL
,,,SOUTH CORRECTIONAL-AUBURN
,,,SOUTH ELGIN POLICE DEPT.
,,,SOUTH EUCLID POLICE DEPT.
,,,SOUTH FLORIDA RECEPT CENT
,,,SOUTH FORK FOREST CAMP
,,,SOUTH GATE POLICE DEPT.
,,,SOUTH HOLLAND POLICE DEPT.
,,,SOUTH HOUSTON POLICE DEPT
,,,SOUTH MISS COR CTR
,,,SOUTH PADRE ISLAND POLICE DEPT.
,,,SOUTH PASADENA POLICE DEPT.
,,,SOUTH TEXAS HOSPITAL
,,,SOUTH TEXAS/PEARSALL HOLD ROOM
,,,SOUTHAMPTON CORRECTIONAL CENTER
,,,SOUTHAMPTON COUNTY JAIL
,,,SOUTHEAST CORR. CENTER
,,,SOUTHEAST FACILITY - MC JUV
,,,SOUTHEAST OHIO REGIONAL JAIL
,,,SOUTHEAST REGIONAL CORFAC
,,,SOUTHEASTERN CORRECTIONAL
,,,SOUTHERN DESERT CORR CTR
,,,SOUTHERN NEV CORR CTR
,,,SOUTHERN NEVADA WOMANS CC
,,,SOUTHERN OH CORRECTIONAL
,,,SOUTHERN REGIONAL JAIL
,,,SOUTHERN STATE CORR. FAC.
,,,SOUTHERN UTE DETENTION CENTER
,,,SOUTHPORT CORRECTIONAL
,,,SOUTHSIDE PLACE POLICE DEPT.
,,,SOUTHWEST ARKANSAS D.O.C.C.
,,,SOUTHWEST DETENTION FACILITY
,,,SOUTHWEST KEY
,,,SOUTHWEST KEY #946
,,,SOUTHWEST KEY (JUVENILE)
,,,SOUTHWEST KEY - HOUSTON
,,,SOUTHWEST KEY CASITA EL PASO
,,,SOUTHWEST KEY JUV. CONTRACT FACILI
,,,SOUTHWEST KEY LEMON GROVE
,,,SOUTHWEST KEY VILLAGE GREEN
,,,SOUTHWEST KEYS JUV. FAC.
,,,SOUTHWEST REGIONAL JAIL-JONESVILLE
,,,SOUTHWEST YOUTH VILLAGE
,,,SOUTHWESTERN REGIONAL JAIL
,,,SOUTHWOOD STATE PRISON
,,,SPALDING COUNTY SHERIFF
,,,SPARTANBURG COUNTY DET CENTER
,,,SPEARMAN POLICE DEPT.
,,,SPENCER POLICE DEPT.
,,,SPOKANE COUNTY
,,,SPRING VALLEY POLICE DEPT.
,,,SPRINGDALE CITY JAIL
,,,SPRINGFIELD CITY JAIL
,,,SPRINGFIELD CORR. FAC SD
,,,SPRINGFIELD DRO HOLD
,,,SPRINGFIELD FED.MED.CNTR
,,,SPRINGFIELD POLICE DEPT.
,,,SRCC YOUTH COR. CTR&CLNC
,,,SRCF MERCER
,,,ST . LOUIS CITY JUSTICE CENTER
,,,ST BERNARD PARISH JUVENILE
,,,ST CHARLES PARISH JAIL
,,,ST CHARLES POLICE DEPT
,,,ST CLAIR COUNTY JAIL
,,,ST JAMES PARISH JAIL
,,,ST JAMES PARISH YOUTH CENTER
,,,ST JOHN PARISH JAIL
,,,"ST JOSEPH CO,CENTREVILLE,"
,,,ST LANDRY PARISH JAIL
,,,ST LAWRENCE COUNTY JAIL
,,,ST MARTIN PARISH CORR CNT
,,,ST MARY PARISH JAIL
,,,ST MARY'S HOSPITAL
,,,ST T CRIMINAL JUST COMPLX
,,,ST TAMMANY PARISH JAIL
,,,ST X GOLDEN GROVE
,,,ST. ANN POLICE DEPT.
,,,ST. BERNARD PARISH JAIL ADULT FACI
,,,ST. BRIDES CORRECTIONAL CENTER
,,,ST. CHARLES CORR. CENTER
,,,ST. CHARLES COUNTY JAIL
,,,ST. CLAIR COUNTY JAIL
,,,ST. CROIX COUNTY JAIL
,,,ST. FRANCIS COUNTY JAIL
,,,ST. FRANCOIS COUNTY JAIL
,,,ST. HELENA PARISH SHERIFF/JAIL
,,,ST. JOHN POLICE DEPT.
,,,ST. JOHN'S COUNTY JAIL
,,,ST. JOSEPH COUNTY JAIL
,,,ST. LOUIS CO. JAIL
,,,ST. LOUIS COUNTY JAIL
,,,ST. LOUIS HOLDROOM
,,,ST. LUCIE COUNTY JAIL
,,,ST. MARTIN D.P. NURS.HOME
,,,ST. MARTIN PARISH PRISON
,,,ST. MARY'S CO DET CNTR
,,,ST. PETERS POLICE DEPT.
,,,ST. ROBERTS POLICE DEPT.
,,,ST.PRISON AT CLALLUM BAY
,,,STAFFORD COUNTY JAIL
,,,STAFFORD CREEK CORRECTIONS
,,,STAFFORD POLICE DEPT.
,,,STAMFORD POLICE DEPT.
,,,STANISLAUS COUNTY JAIL
,,,STANLEY CORRECTIONAL FACILITY
,,,STANLY COUNTY JAIL
,,,STANTON COUNTY JAIL
,,,STARK COUNTY JAIL
,,,STARKVILLE POLICE DEPT.
,,,STARR COUNTY JAIL
,,,STATE COR CTR ANNEX ANCHO
,,,STATE PRISON AT MONROE
,,,STATE PRISON WALLA WALLA
,,,"STATE PRISON, SHELTON"
,,,STATEVILLE CORRECTIONS
,,,STATON CORRECTIONAL FACILITY
,,,STE. GENEVIEVE COUNTY SHERIFF/JAIL
,,,STEARNS COUNTY SHERIFF/JAIL
,,,"STEELE CO. JAIL, MN"
,,,STEPHENS COUNTY DET. DIVISION
,,,STEPHENS COUNTY SHERIFF
,,,STEPHENS COUNTY SHERIFF/JAIL
,,,STEPHENSON COUNTY JAIL
,,,STERNS CO. JAIL
,,,STEUBEN COUNTY JAIL
,,,STEVENS COUNTY JAIL
,,,STEVENSON HOUSE DETENTION CENTER
,,,STEWART COUNTY SHERIFF
,,,STEWART DETENTION CENTER
,,,STICKNEY POLICE DEPT.
,,,STILLWATER COUNTY JAIL
,,,STL COMM. RELEASE CENTER
,,,STOCKTON STAGING FACILITY
,,,STOKES COUNTY JAIL
,,,STONE COUNTY JAIL
